,val_loss,val_accuracy,val_recall_m,val_precision_m,val_f1_m,loss,accuracy,recall_m,precision_m,f1_m
0,4.3552632331848145,0.07100000232458115,0.0,0.0,0.0,4.538036542090616,0.028516726568341255,0.0,0.0,0.0
1,4.043816566467285,0.12219999730587006,0.0,0.0,0.0,4.192392749394298,0.0781942754983902,0.0036057692486792803,0.16239316761493683,0.007029223721474409
2,3.8148207664489746,0.18199999630451202,0.0,0.0,0.0,3.8427034664038735,0.12636034190654755,0.01612580195069313,0.5138888359069824,0.030993422493338585
3,3.6394553184509277,0.20980000495910645,0.00019531250291038305,0.012499998323619366,0.0003846153267659247,3.5706823678422195,0.17583635449409485,0.035556890070438385,0.6578284502029419,0.0666346624493599
4,3.7415168285369873,0.25,0.0023437500931322575,0.13749998807907104,0.0046037291176617146,3.3680647876527576,0.2090429812669754,0.05388621613383293,0.6917763352394104,0.09840378165245056
5,3.3811206817626953,0.28519999980926514,0.008593750186264515,0.4124999940395355,0.01677260361611843,3.145412427386369,0.24627166986465454,0.07021234184503555,0.692309558391571,0.12521988153457642
6,3.385972261428833,0.3176000118255615,0.0228124987334013,0.6740625500679016,0.04349123686552048,2.987795456336997,0.2779121398925781,0.0963541641831398,0.7129268050193787,0.16714388132095337
7,3.008333683013916,0.3301999866962433,0.02675781212747097,0.7714583277702332,0.05127991363406181,2.8562266261574725,0.2996775507926941,0.11318109184503555,0.7172576189041138,0.1933632344007492
8,3.129953384399414,0.35499998927116394,0.040507812052965164,0.8335416913032532,0.0765284076333046,2.712417627332288,0.32728737592697144,0.13321314752101898,0.7221329212188721,0.2228766232728958
9,3.044002056121826,0.38179999589920044,0.048554688692092896,0.9137500524520874,0.09146635979413986,2.6013217376922704,0.3497581481933594,0.15544871985912323,0.7334706783294678,0.2543356120586395
10,2.6172194480895996,0.362199991941452,0.06355468928813934,0.8227282762527466,0.11662731319665909,2.5089493434018832,0.3778718113899231,0.17487980425357819,0.7491478323936462,0.28084585070610046
11,2.624882936477661,0.41200000047683716,0.06234375387430191,0.9155060052871704,0.11556240171194077,2.4768202230844802,0.38915759325027466,0.1846955120563507,0.7385715842247009,0.29206591844558716
12,2.837636709213257,0.4214000105857849,0.061054687947034836,0.9331903457641602,0.11279845237731934,2.3232697785164933,0.40971383452415466,0.2059294879436493,0.7367286682128906,0.319379061460495
13,2.6286749839782715,0.4036000072956085,0.07218749821186066,0.9329265356063843,0.13157953321933746,2.327443287417063,0.4119018614292145,0.20843349397182465,0.7430385947227478,0.32259511947631836
14,2.5858891010284424,0.44359999895095825,0.07789061963558197,0.9524103403091431,0.14224208891391754,2.176057095827474,0.4424627125263214,0.24809695780277252,0.7681133151054382,0.37279605865478516
15,2.239234447479248,0.4429999887943268,0.09324218332767487,0.9174841642379761,0.1671409010887146,2.1214710613836543,0.45999595522880554,0.26071715354919434,0.7552002668380737,0.385008841753006
16,2.3259634971618652,0.43540000915527344,0.07437499612569809,0.9547222852706909,0.1362951695919037,2.0449316704383738,0.4712817370891571,0.2782451808452606,0.7522600889205933,0.40388137102127075
17,2.4461028575897217,0.43619999289512634,0.11316405236721039,0.9185993075370789,0.19918885827064514,1.9975318445500132,0.48599356412887573,0.2899639308452606,0.7619510293006897,0.41710174083709717
18,2.584211826324463,0.4715999960899353,0.11675781011581421,0.9109438061714172,0.205020934343338,1.9559778093034816,0.48925384879112244,0.3020833432674408,0.7615288496017456,0.43059441447257996
19,2.3002407550811768,0.460999995470047,0.09800781309604645,0.9225149154663086,0.17544376850128174,1.8978085267068108,0.5050382614135742,0.3194110691547394,0.771438717842102,0.44924286007881165
20,2.247451066970825,0.48240000009536743,0.12539061903953552,0.9215389490127563,0.21869218349456787,1.8613299894890254,0.5097742676734924,0.3288261294364929,0.7689342498779297,0.4582473635673523
21,1.9686710834503174,0.4925999939441681,0.13593749701976776,0.9289938807487488,0.2344997376203537,1.8142622649213183,0.5216646790504456,0.3474559187889099,0.7748883366584778,0.4778618812561035
22,2.57733154296875,0.382999986410141,0.06578125059604645,0.7211679220199585,0.1191077008843422,1.7816682400985957,0.5269044637680054,0.35126203298568726,0.769309401512146,0.4800463020801544
23,2.183159351348877,0.49559998512268066,0.1355859488248825,0.9447871446609497,0.23509326577186584,1.7764799191268497,0.5275090932846069,0.3422476053237915,0.7758672833442688,0.472464382648468
24,2.4996337890625,0.5034000277519226,0.15000000596046448,0.9223413467407227,0.2561663091182709,1.713615986859784,0.5382910370826721,0.3684895932674408,0.7775475978851318,0.49807626008987427
25,1.9165303707122803,0.5044000148773193,0.16554687917232513,0.9412735104560852,0.2784586250782013,1.6378384219427735,0.5661023855209351,0.4045472741127014,0.7955190539360046,0.5341209173202515
26,1.8850961923599243,0.4918000102043152,0.16820313036441803,0.9046186208724976,0.2817564904689789,1.6353450587371432,0.5595526099205017,0.39533254504203796,0.7853277325630188,0.524251401424408
27,2.340555191040039,0.504800021648407,0.18203124403953552,0.9113198518753052,0.30040624737739563,1.5992818445281487,0.5760340690612793,0.4088541567325592,0.7903004884719849,0.5364051461219788
28,1.912183403968811,0.498199999332428,0.16464844346046448,0.9378072023391724,0.2776778042316437,1.549747490825215,0.5851471424102783,0.42758414149284363,0.7920858263969421,0.5536693930625916
29,1.9215751886367798,0.5203999876976013,0.18949219584465027,0.9213814735412598,0.3120107352733612,1.542846869963866,0.5804286599159241,0.4253806173801422,0.7983805537223816,0.5533230900764465
30,2.1501247882843018,0.5054000020027161,0.18410156667232513,0.9245978593826294,0.3045601546764374,1.4992745397831497,0.5920519232749939,0.43940305709838867,0.7975025773048401,0.5651081800460815
31,1.8458201885223389,0.5041999816894531,0.20593750476837158,0.9152469635009766,0.3339424133300781,1.4899088824194124,0.5917976498603821,0.43980368971824646,0.8002057075500488,0.5661819577217102
32,1.7562835216522217,0.5364000201225281,0.21117189526557922,0.917018711566925,0.34066811203956604,1.4516732807342823,0.6030648946762085,0.45713141560554504,0.8093904852867126,0.5825485587120056
33,2.2319540977478027,0.5317999720573425,0.19339844584465027,0.9234221577644348,0.31717950105667114,1.4343391527321314,0.6031022071838379,0.46494391560554504,0.8010473251342773,0.5867012739181519
34,1.9990928173065186,0.526199996471405,0.21062500774860382,0.9290103912353516,0.34153804183006287,1.4062057717679635,0.615679144859314,0.4735576808452606,0.8067605495452881,0.5948179960250854
